sensorId,IP_Address,Packet_Rate,Packet_Drop_Rate,Packet_Duplication_Rate,Data_Throughput,Signal_Strength,SNR,Battery_Level,Energy_Consumption_Rate,Number_of_Neighbors,Route_Request_Frequency,Route_Reply_Frequency,Data_Transmission_Frequency,Data_Reception_Frequency,Error_Rate,CPU_Usage,Memory_Usage,Bandwidth,Pinged_IP,Is_Malicious
8001,192.168.173.91,50.11308237,2.563048299,0.981480984,131.9758119,-51.93771252,18.49104927,91.53720052,4.779059113,3,12.47231713,9.418162212,16.63858724,15.34167225,0.123276781,36.00612005,29.51606769,93.74830277,83.238.156.250,0
8002,192.168.207.68,49.62656946,2.890546905,1.114516541,78.63612345,-48.80093748,9.080363633,95.5082809,4.602128031,7,10.43443234,9.988476428,14.50553526,14.89881192,0.073060873,44.80348781,27.78475312,106.0027969,81.180.77.86,0
8003,192.168.43.216,77.88056183,3.606422886,0.827566062,62.68583825,-40.91995034,8.149726488,57.80102369,9.285476752,5,17.69995835,12.30355239,17.46076078,14.91822369,0.148714097,54.94526122,41.44639921,91.30429913,139.91.28.23,1
8004,192.168.22.3,61.53673315,2.002126276,1.147946956,81.85336803,-48.15342129,14.65962227,69.54205218,4.368873513,4,9.180026562,15.44268337,15.98804082,17.41032544,0.082530688,39.3583779,24.54302917,75.20154539,157.118.178.193,0
8005,192.168.137.255,67.85224367,2.428731583,1.367073127,116.5725208,-46.03789655,18.64717341,59.05024999,4.424371732,5,8.594407338,6.125890632,17.71071344,16.0182224,0.069258696,30.57400134,21.37053327,84.84996138,32.50.232.17,0
8006,192.168.27.164,50.2563976,2.056953352,0.722727977,105.3457542,-47.29475363,19.20791839,64.73696571,3.711334011,5,8.269610292,7.382527962,16.55218809,13.33746382,0.112852004,40.49401461,30.40272205,123.1954769,57.27.27.10,0
8007,192.168.125.26,63.37808181,2.388773936,1.230022648,122.7244057,-47.96779399,17.99661494,80.42126009,5.018507291,7,8.092335207,10.36578128,12.9577918,16.25278573,0.133350098,48.04382268,34.69239343,86.70054083,144.72.189.192,0
8008,192.168.216.69,34.27978536,1.882396366,0.594011247,98.6168787,-51.47649434,22.83511632,85.61481404,4.827987107,8,10.90610149,10.04592513,15.44366519,10.15078275,0.120527183,54.84676189,28.34142437,86.56209404,192.168.1.1,0
8009,192.168.12.62,62.25674102,1.639345109,0.953628565,108.0521332,-39.95281818,25.95367581,71.15962932,5.42590459,5,9.099112121,11.67242851,12.80771009,16.63272923,0.107405902,39.91857968,40.06776212,97.37488803,203.138.213.148,0
8010,192.168.96.212,54.18004055,1.094324106,0.920828877,101.858822,-60.78656886,13.26063775,84.8050378,4.312329291,0,11.76465964,8.901491687,15.88534308,18.18577029,0.080971642,35.0478454,29.17822473,135.2740097,163.126.241.141,0
